Agency,Fund,FY15 Mayors Proposed Budget
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,50000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,51139.09
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,51200
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,52173
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,52230.11
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,54685.9
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,55668.53
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,55916.65
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,56000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,56320
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,56500
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,57000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,57012.14
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,57328.84
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,57408
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,57500
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,57983
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,58000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,60000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,60790.63
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,62443.48
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,62956.79
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,62971.54
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,66250
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,67802.8
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,68131.32
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,69215.56
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,69632
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,70000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,71328.94
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,72224.29
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,72384
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,73477.73
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,74880
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,75000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,75000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,77000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,77518.83
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,77684.19
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,80000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,80519.4
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,84722.62
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,84811.45
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,84955.28
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,85255.96
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,86790.35
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,87120.77
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,87167.29
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,89000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,90000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,92191.69
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,95172.7
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,96146.44
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,98346.36
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,99840
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,99840
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,100000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,100000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,102336
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,102400
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,103304.92
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,104469.21
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,105090.9
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,105138.81
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,106041.18
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,106056.34
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,109576.02
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,110128.63
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,111544.15
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,114816
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,115000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,116211
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,118743.75
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,119084.48
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,120255.64
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,120977.62
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,121812.36
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,123320.04
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,127287.64
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,128315.02
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,131228.29
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,134616.42
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,134672.46
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,136711.66
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,140000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,141555.83
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,142688.93
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,144000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,146010
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,149538.18
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,150000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,150000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,152256
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,155385.98
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,156086.04
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,158876.43
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,159688
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,160715.76
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,161253.43
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,161371.89
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,161662.15
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,165000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,165939.49
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,169181.14
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,172685.14
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,172855.23
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,173273.22
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,175000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,175000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,182286.31
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,184320
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,184704
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,185000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,185000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,186388.8
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,186732.59
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,187641.44
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,193100
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,193897.91
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,197201.85
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,198957.02
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,200000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,200000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,208095.07
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,209905.11
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,218206.45
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,226009.34
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,231759.28
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,237763.14
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,240000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,242012.69
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,244925.76
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,245301.81
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,250000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,250000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,260470.6
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,263972
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,267981.15
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,272750
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,275000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,275000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,275000
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,275000
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,280486.83
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,282408.73
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,289301.14
DEPARTMENT OF PUBLIC WORKS,INTRA-DISTRICT FUNDS,289515.79
DEPARTMENT OF PUBLIC WORKS,GENERAL FUND,295450.19
